"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Greeting","4","0","Edge cases","0"
"0","","0","Greeting","1","0","Joke request","0"
"0","","0","Greeting API","2","0","Joke request","0"
"0","","0","Greeting API","1","0","Edge cases","0"
"0","","0","Joke API","1","0","Network error handling","0"
"0","","0","Error Handling","1","0","Malformed requests","0"
"0","","0","Joke API","1","0","Timestamp validation","0"
"0","","0","Joke API","2","0","Randomness","0"
"0","","0","Joke API","1","0","Basic joke","0"
"0","","0","Greeting API","2","0","Header-based greeting","0"
"0","","0","Greeting API","2","0","Personalized greeting","0"
"0","","0","Web Interface","1","0","Home page","0"
"0","","0","Greeting","1","0","Personalized greeting","0"
"0","","0","Greeting API","1","0","Joke request via header","0"
"0","","0","Greeting API","2","0","Basic greeting","0"
"0","","0","Greeting API","1","0","Empty header","0"
"0","","0","Joke API","2","0","Basic joke endpoint","0"
"0","","0","Joke API","1","0","Joke with type parameter","0"
"0","","0","Greeting API","1","0","Missing header","0"
"0","","0","Greeting API","1","0","Error handling","0"
"0","","0","Greeting","1","0","Basic greeting","0"
"0","","1","Greeting API","0","0","Special characters","0"
"0","","0","Error Handling","1","0","Invalid routes","0"
